'role_id';'libelle';'case';'description'
"Administrateur·trice technique","Administrateur·trice technique","f",null
"Administrateur·trice fonctionnel·le","Administrateur·trice fonctionnel·le","f",null
"Observateur·trice","Observateur·trice","f",null
"Directeur·trice des ressources humaines","Directeur·trice des ressources humaines","f",null
"Agent","Agent","t",null
"Responsable de structure","Responsable de structure","t",null
"Gestionnaire de structure","Gestionnaire de structure","t",null
"Observateur·trice de la structure","Observateur·trice (Structure)","t","Observateur·trice limité·e au périmètre d'une structrure"
"Supérieur·e hiérarchique direct·e","Supérieur·e hiérarchique direct·e","t",null
"Autorité hiérarchique","Autorité hiérarchique","t",null
"Gestionnaire des entretiens professionnels","Gestionnaire des entretiens professionnels","f",null
"Observateur·trice (Entretien Professionnel)","Observateur·trice (Entretien Professionnel)","t","Rôle permettant de visualiser des entretiens professionnels pour lesquels on a été nommé·e observateur·trice"
"test","test","f","test pour le changement de rôle dans une url"
